@contest "SanSi Cup 2024"
@s 10,G,1,12162,RJ
@s 3,A,1,12184,RJ
@s 3,E,1,12194,RJ
@s 35,G,1,12215,OK
@s 3,E,1,12222,RJ
@s 3,A,1,12238,RJ
@s 9,A,1,12251,OK
@s 5,C,1,12252,RJ
@s 15,B,1,12255,RJ
@s 6,F,1,12265,RJ
@s 6,C,1,12274,RJ
@s 25,E,1,12293,RJ
@s 50,E,1,12294,RJ
@s 3,E,1,12296,RJ
@s 5,C,1,12303,RJ
@s 3,E,1,12322,RJ
@s 49,G,1,12335,RJ
@s 6,C,1,12357,RJ
@s 3,C,1,12359,RJ
@s 3,E,1,12366,RJ
@s 16,E,1,12368,RJ
@s 3,A,1,12378,RJ
@s 12,F,1,12406,RJ
@s 18,C,1,12413,RJ
@s 12,C,1,12414,RJ
@s 16,F,1,12416,RJ
@s 6,F,1,12419,RJ
@s 3,E,1,12424,RJ
@s 13,G,1,12428,RJ
@s 3,A,1,12430,RJ
@s 12,F,1,12455,RJ
@s 39,F,1,12456,RJ
@s 3,E,1,12457,RJ
@s 35,G,1,12460,OK
@s 45,F,1,12462,RJ
@s 15,B,1,12463,RJ
@s 50,E,1,12464,RJ
@s 3,E,1,12466,RJ
@s 49,G,1,12470,RJ
@s 14,C,1,12470,RJ
@s 18,G,1,12472,RJ
@s 18,G,1,12476,RJ
@s 27,F,1,12476,OK
@s 31,C,1,12480,RJ
@s 15,B,1,12490,RJ
@s 14,F,1,12495,OK
@s 3,E,1,12561,RJ
@s 5,C,1,12563,RJ
@s 3,A,1,12576,RJ
@s 48,E,1,12582,RJ
@s 50,E,1,12631,RJ
@s 38,B,1,12698,RJ
@s 5,G,1,12702,OK
@s 12,F,1,12723,RJ
@s 18,C,1,12730,RJ
@s 47,A,1,12734,RJ
@s 52,C,1,12737,RJ
@s 4,F,1,12737,RJ
@s 38,B,1,12741,RJ
@s 13,G,1,12745,RJ
@s 5,C,1,12745,RJ
@s 34,C,1,12747,RJ
@s 41,E,1,12759,RJ
@s 48,E,1,12775,RJ
@s 3,A,1,12804,RJ
@s 5,C,1,12824,RJ
@s 28,E,1,12853,RJ
@s 13,G,1,13012,RJ
@s 32,B,1,13015,RJ
@s 21,G,1,13016,RJ
@s 13,G,1,13016,RJ
@s 20,F,1,13016,RJ
@s 3,E,1,13017,RJ
@s 18,C,1,13017,RJ
@s 1,A,1,13020,RJ
@s 3,A,1,13023,RJ
@s 37,C,1,13024,RJ
@s 3,E,1,13030,RJ
@s 10,G,1,13286,OK
@s 12,C,1,13290,RJ
@s 13,G,1,13290,RJ
@s 10,G,1,13291,OK
@s 1,A,1,13292,RJ
@s 41,E,1,13293,RJ
@s 3,A,1,13293,RJ
@s 39,E,1,13294,RJ
@s 12,F,1,13295,RJ
@s 3,E,1,13300,RJ
@s 6,A,1,13318,RJ
@s 4,F,1,13321,RJ
@s 36,B,1,13327,RJ
